Participant,Widget,Location,TaskType,SelectionMethod,SRC,Trials,A,W,ID,Ae,We,IDe(bits),PT(ms),ST(ms),MT(ms),ER(%),TP(bps),TRE,TAC,MDC,ODC,MV,ME,MO
P6,Joystick,Center,2D,DT500,0,7,100,60,1.4150374983804868,95.21147160598592,69.28108263761187,1.2474889010704664,2928.1428571428573,503.4285714285714,3431.8571428571427,0.0,0.3635025728465748,0.1428571428571428,0.5714285714285714,1.2857142857142858,0.5714285714285714,9.962951583718036,14.694978899337285,-10.868254415224555
P6,Joystick,Center,2D,DT500,0,7,100,40,1.8073549209101785,109.01670146853893,39.37965154388733,1.913933384989028,2873.8571428571427,502.7142857142857,3377.285714285714,0.0,0.5667075713769804,0.1428571428571428,0.4285714285714285,1.0,0.5714285714285714,9.912531403892611,14.237917434816234,-0.1999117664045039
P6,Horizontal,Rear,1D,DT500,0,7,250,40,2.857980993313141,251.28571428571428,39.13386006825818,2.891649366510692,3560.714285714286,524.0,4085.142857142857,0.0,0.7078453477960148,0.2857142857142857,0.0,0.0,0.7142857142857143,2.2626676550945028e-14,11.999999999999996,-11.999999999999996
P6,Horizontal,Rear,1D,DT500,0,7,250,60,2.3692338081615767,242.42857142857144,48.92407900278076,2.5741498358451427,3402.1428571428573,529.0,3931.571428571429,0.0,0.6547381581670724,0.0,0.0,0.0,0.0,1.85415675495732e-14,5.000000000000005,-5.000000000000005
P6,Horizontal,Rear,1D,DT500,0,7,500,40,3.754887499779624,502.7142857142857,43.45688927121587,3.651696360962297,5234.428571428572,525.5714285714286,5760.857142857143,0.0,0.6338807351767118,0.0,0.0,0.0,0.0,3.7074042762443125e-14,5.000000000000008,-5.000000000000008
P6,Horizontal,Rear,1D,DT500,0,7,100,60,1.4150374983804868,113.28571428571428,69.5174529289268,1.394843936709074,1845.428571428572,534.8571428571429,2380.714285714286,0.0,0.5858930427220832,0.0,0.0,0.0,0.5714285714285714,9.8026349567997e-15,5.000000000000003,-5.000000000000003
P6,Horizontal,Rear,1D,DT500,0,7,500,60,3.222392419290665,485.57142857142856,49.46140442451722,3.435252315122138,5790.142857142857,523.8571428571429,6314.428571428572,0.0,0.5440321758750926,0.1428571428571428,0.0,0.0,0.4285714285714285,3.71590751584792e-14,5.000000000000008,-5.000000000000008
P6,Horizontal,Rear,1D,DT500,0,7,100,40,1.8073549209101785,100.71428571428572,42.53951512509654,1.7516979219158626,1928.7142857142856,537.2857142857143,2466.5714285714284,0.0,0.710175226075005,0.1428571428571428,0.0,0.0,0.1428571428571428,8.72602909836863e-15,5.000000000000001,-5.000000000000001
P6,Horizontal,Front,1D,DT500,0,7,100,40,1.8073549209101785,107.0,44.051707554700776,1.7777726440650068,2037.142857142857,527.0,2564.5714285714284,0.0,0.6932045737775762,0.1428571428571428,0.0,0.0,0.1428571428571428,1.8687198902739105e-14,33.0,-33.0
P6,Horizontal,Front,1D,DT500,0,7,500,60,3.222392419290665,496.0,59.79382962324832,3.216481296456918,5285.0,528.8571428571429,5814.428571428572,0.0,0.5531895794992365,0.1428571428571428,0.0,0.0,0.2857142857142857,7.391332384513795e-14,26.0,-26.0
P6,Horizontal,Front,1D,DT500,0,7,250,40,2.857980993313141,257.57142857142856,45.76317465477994,2.7286510401775863,3599.285714285714,534.8571428571429,4134.428571428572,14.285714285714285,0.6599826295305312,0.4285714285714285,0.0,0.0,0.4285714285714285,4.0852370849262956e-14,26.0,-26.0
P6,Horizontal,Front,1D,DT500,0,7,250,60,2.3692338081615767,250.28571428571428,31.83365819951981,3.147680873374745,3056.5714285714284,522.0,3578.8571428571427,0.0,0.8795212403649696,0.0,0.0,0.0,0.0,3.6253965519869304e-14,26.0,-26.0
P6,Horizontal,Front,1D,DT500,0,7,100,60,1.4150374983804868,98.57142857142856,58.13869740487782,1.4305277496232855,1463.7142857142858,543.8571428571429,2007.857142857143,0.0,0.712464905539879,0.0,0.0,0.0,0.0,1.457148573222744e-14,26.0,-26.0
P6,Horizontal,Front,1D,DT500,0,7,500,40,3.754887499779624,503.8571428571428,44.21755853578684,3.631681266157186,5300.428571428572,530.1428571428571,5831.428571428572,0.0,0.6227772871901103,0.0,0.0,0.0,0.0,7.30100563302021e-14,26.0,-26.0
P6,Vertical,Center,1D,DT500,0,7,250,60,2.3692338081615767,253.7142857142857,49.11488156106033,2.624272039675025,3748.0,546.4285714285714,4295.285714285715,0.0,0.6109656526332914,0.0,0.0,0.0,0.8571428571428571,3.422275473072236e-14,27.0,-27.0
P6,Vertical,Center,1D,DT500,0,7,100,40,1.8073549209101785,89.71428571428571,27.869502331520888,2.076930014455875,1211.7142857142858,527.8571428571429,1740.2857142857142,0.0,1.1934419718593932,0.2857142857142857,0.0,0.0,1.4285714285714286,1.424782927166792e-14,20.0,-20.0
P6,Vertical,Center,1D,DT500,0,7,500,40,3.754887499779624,505.57142857142856,64.76914985652547,3.1384449659515243,7264.0,531.1428571428571,7795.285714285715,14.285714285714285,0.4026080737746379,0.0,0.0,0.0,1.0,6.375524576497955e-14,20.0,-20.0
P6,Vertical,Center,1D,DT500,0,7,100,60,1.4150374983804868,118.85714285714286,37.79112177687824,2.051409537426017,1158.428571428571,524.7142857142857,1683.428571428571,0.0,1.2185901868620268,0.0,0.0,0.0,0.4285714285714285,1.4986846361819146e-14,20.0,-20.0
P6,Vertical,Center,1D,DT500,0,7,250,40,2.857980993313141,250.28571428571428,40.55254392492639,2.8423527337942445,3110.8571428571427,522.8571428571429,3634.428571428572,0.0,0.7820631711237652,0.0,0.0,0.0,1.1428571428571428,3.4786636762571474e-14,20.000000000000004,-20.000000000000004
