Participant,Widget,Location,Duration of Incorrect Selection (s)
P11,Horizontal,Center,0.0333919519998744
P11,Horizontal,Center,1.020830178000324
P11,Horizontal,Center,0.410441156998786
P11,Horizontal,Center,0.1616375710000284
P11,Horizontal,Center,1.1648307209998163
P11,Horizontal,Center,0.4304747189999034
P11,Horizontal,Center,0.0667750669999804
P11,Horizontal,Center,0.1368573649997415
P11,Horizontal,Center,0.1306668489996809
P11,Horizontal,Center,0.0892182719999254
P11,Horizontal,Center,0.0501193899999634
P11,Horizontal,Center,0.1001605219989869
P11,Horizontal,Center,0.8972044379988802
P11,Horizontal,Center,0.2586630160003551
P11,Horizontal,Center,0.8806791340011841
P11,Horizontal,Center,0.3955040300006658
P11,Joystick,Center,0.1672862579998764
P11,Joystick,Center,0.485836478001147
P11,Joystick,Center,0.7174609630001214
P11,Joystick,Center,0.0344652380008483
P11,Joystick,Center,0.3038033450011426
P11,Joystick,Center,0.150520430999677
P11,Joystick,Center,0.2673051439996925
P11,Joystick,Center,0.5526088970000274
P11,Joystick,Center,0.1001348129993857
P11,Joystick,Center,0.1688250949991925
P11,Joystick,Center,0.1670403680000163
P11,Joystick,Center,0.4509935570004018
P11,Joystick,Center,0.2840142719996947
P11,Joystick,Center,0.8862025590005942
P11,Joystick,Center,0.2866586159998405
P11,Joystick,Center,0.2019409519998589
P11,Joystick,Center,0.2513117039998178
P11,Joystick,Center,0.3674509339998622
P11,Joystick,Center,1.1555981709989285
P11,Joystick,Center,0.0834228790008637
P11,Joystick,Center,0.2837297030000627
P11,Joystick,Center,0.1845962450006482
P11,Horizontal,Rear,0.6927212580012565
P11,Horizontal,Rear,0.1067599620000692
P11,Horizontal,Rear,1.0187201389999243
P11,Horizontal,Rear,0.3380475839985593
P11,Horizontal,Rear,0.1743538780010567
P11,Horizontal,Rear,0.4182340090010257
P11,Horizontal,Rear,0.6173602110011416
P11,Horizontal,Rear,0.2008073720007814
P11,Horizontal,Rear,0.1002351560000534
P11,Horizontal,Rear,0.2199462270000367
P11,Horizontal,Rear,0.134355393000078
P11,Horizontal,Rear,0.1834843830001773
P11,Horizontal,Rear,0.4171495430000504
P11,Horizontal,Rear,0.083473185000912
P11,Horizontal,Rear,0.033362959000442
P11,Horizontal,Rear,0.1851401479998458
P11,Horizontal,Rear,0.433796612000151
P11,Horizontal,Rear,0.5350767639993137
P11,Horizontal,Rear,0.4031906700001855
P11,Horizontal,Rear,0.1335889029996906
P11,Horizontal,Rear,0.1335902259997965
P11,Horizontal,Rear,0.1837130280000565
P11,Horizontal,Rear,0.2539666129996476
P11,Horizontal,Rear,0.0333615430008649
P11,Horizontal,Rear,1.1553957470005116
P8,Joystick,Center,0.4837761760027206
P8,Joystick,Center,0.2217551489993638
P8,Joystick,Center,0.050109675998101
P8,Joystick,Center,0.1198275320020911
P8,Joystick,Center,0.3843315630001598
P8,Joystick,Rear,0.1852804720001586
P8,Joystick,Rear,0.0501338220001343
P8,Joystick,Rear,0.2358491330014658
P8,Vertical,Right,0.1168225050005276
P8,Vertical,Right,0.1835559510000166
P8,Joystick,Front,0.2362847860003967
P8,Horizontal,Rear,0.0333446010008628
P8,Horizontal,Rear,0.1668677719990228
P8,Horizontal,Rear,0.1840681300000142
P8,Horizontal,Rear,0.1501288409999688
P8,Horizontal,Rear,0.0166709090008225
P8,Horizontal,Rear,0.1835542650005663
P8,Horizontal,Rear,0.1503217600002244
P8,Horizontal,Rear,0.033362953001415
P8,Horizontal,Rear,0.1167992049995518
P8,Horizontal,Rear,0.0500605910001468
P8,Horizontal,Rear,0.3335719149999931
P8,Horizontal,Rear,0.2001862580000306
P8,Horizontal,Center,0.2678317859990784
P8,Horizontal,Center,0.1501781710012437
P8,Horizontal,Center,0.0667469289983273
P8,Horizontal,Center,0.0848536239991517
P8,Horizontal,Center,0.0667027510007756
P8,Horizontal,Center,0.0838577659997099
P8,Horizontal,Center,0.3169026609994034
P8,Horizontal,Center,0.050049900999511
P8,Horizontal,Center,0.2703910260006523
P8,Horizontal,Center,0.0839816759998939
P8,Horizontal,Center,0.4338527500003692
P8,Horizontal,Center,0.1334560710001824
P8,Vertical,Center,0.1501789960002497
P8,Vertical,Center,0.2168999900004564
P8,Vertical,Center,0.0834118949987896
P8,Horizontal,Front,0.287020763998953
P8,Horizontal,Front,0.0333724039992375
P8,Vertical,Left,0.0500245069997618
P8,Vertical,Left,0.3410100680011965
P8,Vertical,Left,0.0877189849998103
P5,Joystick,Rear,0.050076187999366
P5,Joystick,Rear,0.0501135049998993
P5,Joystick,Rear,0.2489304069986246
P5,Joystick,Rear,0.5580350039999757
P5,Joystick,Rear,0.3400980099995649
P5,Joystick,Rear,0.0864645479996397
P5,Joystick,Rear,0.0333633409991307
P5,Joystick,Rear,0.0670528000009653
P5,Joystick,Rear,0.2968844890001492
P5,Joystick,Rear,0.0667915570011246
P5,Joystick,Rear,0.1289011520002532
P5,Joystick,Rear,0.1169401650004147
P5,Joystick,Rear,0.0334066319992416
P5,Vertical,Center,0.0166944550001062
P5,Vertical,Center,0.0500949799998124
