Participant,Widget,Location,TaskType,SelectionMethod,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
P9,Vertical,Right,1D,DT500,2,100.0,40.0,106.0,6.0,1856,511,2367,0,0,0,0,0,1.1246071519848996e-14,7.999999999999996,7.999999999999996
P9,Vertical,Right,1D,DT500,3,100.0,40.0,119.0,19.00000000000001,1850,515,2366,0,0,0,0,0,1.0040738204297797e-14,8.000000000000016,8.000000000000016
P9,Vertical,Right,1D,DT500,4,100.0,40.0,113.0,13.000000000000009,1820,515,2336,0,0,0,0,0,1.0447900638882317e-14,7.999999999999988,7.999999999999988
P9,Vertical,Right,1D,DT500,5,100.0,40.0,119.0,19.00000000000001,2974,529,3503,0,1,0,0,1,1.2039872153624074e-14,8.000000000000018,8.000000000000018
P9,Vertical,Right,1D,DT500,6,100.0,40.0,107.0,7.000000000000009,2265,524,2789,0,0,0,0,0,1.0895028840385852e-14,7.999999999999994,7.999999999999994
P9,Joystick,Center,2D,DT500,0,500.0,60.0,498.535609975647,11.07165388473514,5429,500,5930,0,0,1,4,0,19.84504098439628,29.99243850029432,-27.804743800254045
P9,Joystick,Center,2D,DT500,1,500.0,60.0,483.0721137405198,-4.391842350392066,5096,500,5596,0,0,0,1,0,2.3787894846862896,6.109650169102513,-6.109650169102513
P9,Joystick,Center,2D,DT500,2,500.0,60.0,489.9356857308153,2.4717296399035287,5652,500,6153,0,0,1,1,0,8.801840139560984,10.84833125318851,-9.309372279118532
P9,Joystick,Center,2D,DT500,3,500.0,60.0,492.7319780454559,5.268021954544111,4699,500,5199,0,0,0,0,0,3.234524650306704,12.414225941422592,12.414225941422592
P9,Joystick,Center,2D,DT500,4,500.0,60.0,503.5898213283487,16.12586523743684,5209,500,5710,0,0,2,2,0,24.79076818309273,26.05266520770971,18.85121973570557
P9,Joystick,Center,2D,DT500,5,500.0,60.0,458.8745345149706,-28.58942157594125,6089,500,6590,0,0,2,3,0,18.924701112043536,20.65727762380242,-17.596044021131032
P9,Joystick,Center,2D,DT500,6,500.0,60.0,479.9398863086567,-7.524069782255061,5200,500,5700,0,0,4,3,0,12.278454305661873,11.658766590807367,-9.226182771307572
P9,Joystick,Center,2D,DT500,0,250.0,40.0,249.3158223804936,5.58384433503764,2853,500,3354,0,0,1,1,0,9.9049923509786,11.017769895144973,-8.845668400207533
P9,Joystick,Center,2D,DT500,1,250.0,40.0,248.80017581280765,5.068197767351709,3154,500,3655,0,0,0,3,0,14.329365281863693,19.98310097811546,19.775101533851128
P9,Joystick,Center,2D,DT500,2,250.0,40.0,245.7680747275869,2.0360966821309643,4336,500,4836,0,0,1,1,0,4.911722934865439,6.53049390933777,5.909417690885941
P9,Joystick,Center,2D,DT500,3,250.0,40.0,235.865989022728,-7.865989022727934,4549,500,5049,0,0,0,0,1,4.231726900783407,2.844999999999992,2.544999999999982
P9,Joystick,Center,2D,DT500,4,250.0,40.0,243.937466949,0.2054889035440145,3614,500,4115,0,0,0,1,1,22.49648335935283,30.06267301912185,-29.540271495145745
P9,Joystick,Center,2D,DT500,5,250.0,40.0,242.4563207165033,-1.2756573289526578,3650,500,4151,0,0,1,2,0,9.348293412404187,8.116430830262935,0.2569929393285036
P9,Joystick,Center,2D,DT500,6,250.0,40.0,239.3023803524595,-4.429597692996464,3650,500,4151,0,0,1,1,0,8.737237593167155,9.201252798270968,6.403716798219142
P9,Joystick,Center,2D,DT500,0,100.0,60.0,106.26714242781878,8.77435120963638,4340,500,4840,0,0,0,1,0,7.016663278037491,10.02606429692217,10.02606429692217
P9,Joystick,Center,2D,DT500,1,100.0,60.0,110.4419442800164,12.949153061833972,5090,500,5591,0,0,1,2,2,12.57888506230214,15.847620348537133,14.306159724812334
P9,Joystick,Center,2D,DT500,2,100.0,60.0,97.13310335848344,-0.3596878596989481,2354,502,2857,0,0,1,1,0,10.117174377177893,21.20179730713032,-20.738436569806183
